street,sa2_code,sa2_name,installation_type,installations,kw_rating,kw_total
BURNAGE ROAD,100100,North Cape,Res,3 or less,5.5,
EVERITT ROAD,100100,North Cape,Res,3 or less,3.8,
FAR NORTH ROAD,100100,North Cape,Res,21,5.7,119.6
FITZGERALD ROAD,100100,North Cape,Res,3 or less,5.5,
HENDERSON BAY ROAD,100100,North Cape,Res,3 or less,5.0,
HOUHORA HEADS ROAD,100100,North Cape,Res,3 or less,7.6,
HUKATERE ROAD,100100,North Cape,Res,3 or less,3.3,
LAMB ROAD,100100,North Cape,Res,3 or less,5.5,
MAY ROAD,100100,North Cape,Res,3 or less,5.0,
MCMANUS ROAD,100100,North Cape,Res,3 or less,4.1,
NGATAKI ROAD,100100,North Cape,Res,3 or less,5.1,
PINE BLOCK ROAD,100100,North Cape,Res,3 or less,3.1,
STATE HIGHWAY 1,100100,North Cape,Res,3 or less,5.0,
STATE HIGHWAY 1F,100100,North Cape,Res,36,5.2,185.9
TE AHU ROAD,100100,North Cape,Res,5,5.3,26.6
TE HAPUA ROAD,100100,North Cape,Res,6,4.0,24.0
TE RAWHITIROA ROAD,100100,North Cape,Res,3 or less,5.0,
VIEW LANE,100100,North Cape,Res,3 or less,5.0,
WAGENER GROVE,100100,North Cape,Res,3 or less,5.3,
WATERFRONT ROAD,100100,North Cape,Res,3 or less,19.9,
WHALERS ROAD,100100,North Cape,Res,4,6.0,24.0
CHURCH ROAD,100200,Rangaunu Harbour,Res,3 or less,10.0,
DICK SMITH LOOP ROAD,100200,Rangaunu Harbour,Res,3 or less,10.0,
DOEL ROAD,100200,Rangaunu Harbour,Res,3 or less,5.0,
FAR NORTH ROAD,100200,Rangaunu Harbour,Res,3 or less,4.0,
GILL ROAD,100200,Rangaunu Harbour,Res,3 or less,5.6,
IMMS ROAD,100200,Rangaunu Harbour,Res,3 or less,5.5,
KAIMAUMAU ROAD,100200,Rangaunu Harbour,Res,3 or less,3.0,
KUMI ROAD,100200,Rangaunu Harbour,Res,3 or less,4.5,
LAKE NGATU ROAD,100200,Rangaunu Harbour,Res,3 or less,5.0,
MANGATETE HEIGHTS,100200,Rangaunu Harbour,Res,3 or less,9.0,
MANGATETE HEIGHTS ROAD,100200,Rangaunu Harbour,Res,3 or less,4.0,
NGAKAPUA ROAD,100200,Rangaunu Harbour,Res,3 or less,6.7,
PAIRATAHI ROAD,100200,Rangaunu Harbour,Res,3 or less,9.0,
PAPARORE ROAD,100200,Rangaunu Harbour,Res,3 or less,2.0,
QUARRY ROAD,100200,Rangaunu Harbour,Res,4,7.3,29.0
RATA STREET,100200,Rangaunu Harbour,Res,3 or less,3.5,
RONAS PLACE,100200,Rangaunu Harbour,Res,3 or less,5.5,
SPAINS ROAD,100200,Rangaunu Harbour,Res,4,6.5,26.0
STATE HIGHWAY 1,100200,Rangaunu Harbour,Res,3 or less,9.0,
STATE HIGHWAY 10,100200,Rangaunu Harbour,Res,6,4.5,26.8
STATE HIGHWAY 1F,100200,Rangaunu Harbour,Res,4,6.1,24.5
SULENTA LOOP ROAD,100200,Rangaunu Harbour,Res,3 or less,6.6,
SWEETWATER ROAD,100200,Rangaunu Harbour,Res,3 or less,7.6,
TURK VALLEY ROAD,100200,Rangaunu Harbour,Res,3 or less,3.0,
UNAHI ROAD,100200,Rangaunu Harbour,Res,3 or less,7.0,
WAIMANONI ROAD,100200,Rangaunu Harbour,Res,3 or less,5.0,
WEST COAST ROAD,100200,Rangaunu Harbour,Res,9,5.0,44.7
WEST ROAD,100200,Rangaunu Harbour,Res,3 or less,4.8,
AKEAKE CRESCENT,100400,Karikari Peninsula,Res,3 or less,4.2,
BANYAN ROAD,100400,Karikari Peninsula,Res,3 or less,5.0,
BAY HEIGHTS DRIVE,100400,Karikari Peninsula,Res,3 or less,6.0,
CARRINGTON DRIVE,100400,Karikari Peninsula,Res,3 or less,9.0,
DICK URLICH ROAD,100400,Karikari Peninsula,Res,3 or less,6.0,
DOUBTLESS BAY DRIVE,100400,Karikari Peninsula,Res,3 or less,10.0,
GILLIES ROAD,100400,Karikari Peninsula,Res,3 or less,10.0,
INLAND ROAD,100400,Karikari Peninsula,Res,11,5.4,59.6
LINDSEY WAY,100400,Karikari Peninsula,Res,3 or less,10.0,
MARREINE PLACE,100400,Karikari Peninsula,Res,3 or less,4.5,
MELISSA ROAD,100400,Karikari Peninsula,Res,3 or less,9.0,
PEKERAU ROAD,100400,Karikari Peninsula,Res,3 or less,3.0,
PEREHIPE ROAD,100400,Karikari Peninsula,Res,3 or less,5.0,
PUKEWHAI ROAD,100400,Karikari Peninsula,Res,3 or less,5.3,
RANGIPUTA ROAD,100400,Karikari Peninsula,Res,3 or less,6.5,
SIMON URLICH ROAD,100400,Karikari Peninsula,Res,4,5.5,22.0
SIMPSON ROAD,100400,Karikari Peninsula,Res,3 or less,17.2,
