StatisticalArea2Code,StatisticalArea2Name,PhysicalAddressStreet,MarketSegment,ICPs,GenerationCapacityKilowattsAvg,GenerationCapacityKilowattsSum
100100,North Cape,BURNAGE ROAD,Res,3 or less,5.5,
100100,North Cape,EVERITT ROAD,Res,3 or less,3.8,
100100,North Cape,FAR NORTH ROAD,Res,21,5.7,119.6
100100,North Cape,FITZGERALD ROAD,Res,3 or less,5.5,
100100,North Cape,HENDERSON BAY ROAD,Res,3 or less,5.0,
100100,North Cape,HOUHORA HEADS ROAD,Res,3 or less,7.6,
100100,North Cape,HUKATERE ROAD,Res,3 or less,3.3,
100100,North Cape,LAMB ROAD,Res,3 or less,5.5,
100100,North Cape,MAY ROAD,Res,3 or less,5.0,
100100,North Cape,MCMANUS ROAD,Res,3 or less,4.1,
100100,North Cape,NGATAKI ROAD,Res,3 or less,5.1,
100100,North Cape,PINE BLOCK ROAD,Res,3 or less,3.1,
100100,North Cape,STATE HIGHWAY 1,Res,3 or less,5.0,
100100,North Cape,STATE HIGHWAY 1F,Res,36,5.2,185.9
100100,North Cape,TE AHU ROAD,Res,5,5.3,26.6
100100,North Cape,TE HAPUA ROAD,Res,6,4.0,24.0
100100,North Cape,TE RAWHITIROA ROAD,Res,3 or less,5.0,
100100,North Cape,VIEW LANE,Res,3 or less,5.0,
100100,North Cape,WAGENER GROVE,Res,3 or less,5.3,
100100,North Cape,WATERFRONT ROAD,Res,3 or less,19.9,
100100,North Cape,WHALERS ROAD,Res,4,6.0,24.0
100200,Rangaunu Harbour,CHURCH ROAD,Res,3 or less,10.0,
100200,Rangaunu Harbour,DICK SMITH LOOP ROAD,Res,3 or less,10.0,
100200,Rangaunu Harbour,DOEL ROAD,Res,3 or less,5.0,
100200,Rangaunu Harbour,FAR NORTH ROAD,Res,3 or less,4.0,
100200,Rangaunu Harbour,GILL ROAD,Res,3 or less,5.6,
100200,Rangaunu Harbour,IMMS ROAD,Res,3 or less,5.5,
100200,Rangaunu Harbour,KAIMAUMAU ROAD,Res,3 or less,3.0,
100200,Rangaunu Harbour,KUMI ROAD,Res,3 or less,4.5,
100200,Rangaunu Harbour,LAKE NGATU ROAD,Res,3 or less,5.0,
100200,Rangaunu Harbour,MANGATETE HEIGHTS,Res,3 or less,9.0,
100200,Rangaunu Harbour,MANGATETE HEIGHTS ROAD,Res,3 or less,4.0,
100200,Rangaunu Harbour,NGAKAPUA ROAD,Res,3 or less,6.7,
100200,Rangaunu Harbour,PAIRATAHI ROAD,Res,3 or less,9.0,
100200,Rangaunu Harbour,PAPARORE ROAD,Res,3 or less,2.0,
100200,Rangaunu Harbour,QUARRY ROAD,Res,4,7.3,29.0
100200,Rangaunu Harbour,RATA STREET,Res,3 or less,3.5,
100200,Rangaunu Harbour,RONAS PLACE,Res,3 or less,5.5,
100200,Rangaunu Harbour,SPAINS ROAD,Res,4,6.5,26.0
100200,Rangaunu Harbour,STATE HIGHWAY 1,Res,3 or less,8.0,
100200,Rangaunu Harbour,STATE HIGHWAY 10,Res,6,4.5,26.8
100200,Rangaunu Harbour,STATE HIGHWAY 1F,Res,4,6.1,24.5
100200,Rangaunu Harbour,SULENTA LOOP ROAD,Res,3 or less,6.6,
100200,Rangaunu Harbour,SWEETWATER ROAD,Res,3 or less,7.6,
